movie_id,person_id,role
1920,110536,[Paul]
16076,106993,[Monsieur Falconnetti]
16093,106072,[Gen. Rodolfo Fierro]
1985,102928,(Unknown)
16710,108213,[Joslin]
5680,111071,[Winnie]
11129,110969,[Himself]
11144,111355,(Unknown)
16928,113343,[Miner giving a speech]
16944,113156,[Himself]
2422,111254,[Himself - Interviewer]
2720,100858,[Bob]
19769,105420,[Darc]
20371,108009,[Kennedy Launch]
20372,113223,[Himself]
11562,113042,[Himself]
20620,102697,[Steamer Captain]
20690,107274,[Dev]
17949,113491,[Bob]
7184,101125,[Xavier]
21375,111303,"[Adam, kok på Wesselsminde (Ad"
24817,110636,[Augustin]
18246,107658,[Olaf]
25785,101058,[African réception]
18549,110350,[Reynolds]
18567,103180,[Benny]
18631,107711,[Dick Schmidtz]
18999,103013,[Singer]
2837,101585,[Santo]
12083,110710,(Unknown)
12148,100012,[Tercer Cuadro Flamenco 'Solea
12148,100015,[Cuarto Cuadro Flamenco 'Taran
431,104293,(Unknown)
3006,101668,[Business Manager]
8454,107401,[Barun Lenbach]
749,101083,[Samy]
9005,102539,[Timberwolf]
9005,111411,[Football Player]
9005,111611,[Weeble]
9005,111614,[Football Player]
9089,108421,[Scientist]
917,105126,[Himself]
3090,105544,[Lavatory Man]
12332,112148,[McArthur Entourage]
12366,110810,[René]
12800,109488,(Unknown)
1218,110276,[Victim]
13736,108052,[Mr. Brown]
1300,111263,[Plumber]
3942,105627,[Alfred]
4476,104892,[Vikranth]
4592,111980,[Himself]
4593,111980,[Himself]
4595,111980,[Himself]
10308,107048,[Jannis]
1487,108873,[Himself]
4694,104494,[Derrick Coles]
4944,105627,[Mayor Phillips]
14671,105613,(Unknown)
14671,106082,[Tony]
14671,109508,[Radio speaker]
14755,107753,[Tristano Martinelli]
10727,109357,[Max]
5612,110912,(Unknown)
15056,103689,[Infirmier]
15407,109589,[Leon]
10996,109538,(Unknown)
16076,110426,[Police Inspector]
1953,104544,[Himself]
1955,102168,[Himself]
16391,105846,[Himself]
6048,106513,[Comandante]
11261,110343,[Harry]
2136,101767,[Doyle]
16827,106513,[Himself]
16943,101232,[Baseball Fan]
2287,107182,[Himself - Presenter]
2573,100665,[Himself - performer]
2707,105744,[Himself]
17645,104892,[Annamayya]
17664,110912,[Dayal Bhai]
19503,101870,[Pancracio]
19600,108188,[Bear]
19687,100533,[Shushan Gorky]
19687,108955,[Raffi]
20336,111881,[Dr. Archer Scobee]
20371,111881,[The President]
6949,102236,[Gingis Von]
24430,100146,[Voice on Dr. Evil's telephone
20921,112496,(Unknown)
20954,112430,[Maximov]
7586,108286,[Himself]
24666,113435,[Le père]
25785,105277,[Le ministre]
25851,113066,[Gangster]
18948,103823,(Unknown)
7587,108286,[Himself]
22645,108519,[Older Brother in Flashback]
22645,108520,[The Twelfth Man]
22844,111245,[Jurastuderende]
22845,110576,(Unknown)
26973,100915,[Lenny/'Charlie Friendly']
27171,102504,[DEA Van Agent]
23077,100781,[Shukri]
30582,100667,[Himself]
27574,111245,[Himself/Malou's father]
23679,104091,[Michel]
35697,112430,[Warden Brando]
31018,110560,[Young Man in Boat]
31085,101435,[Jefe de policia]
36146,109171,(Unknown)
36550,107299,(Unknown)
32386,112031,[Security police]
42983,101585,[Broker]
43001,108402,(Unknown)
37970,111293,[Billy Boy]
38502,109538,[Capt. Moreno]
38572,111011,[Wedding Guest]
40327,100916,[Zeus]
40341,113065,[Percussionist]
39404,111780,[Cop at Secret Lab Crime Scene
33574,102053,"[Philicome, Calchas' Attendant"
33722,104043,[Karl]
43118,101469,[Ari]
43315,112600,[Krishna Sahni]
43432,105663,[Jack Ruby]
43652,110809,[Jonathan]
43883,110274,[Bank worker]
43918,105544,[Mormon Thug #1]
34191,107001,[Eyepatch lieutenant]
40778,109889,[Josef]
46408,108987,[Himself]
34574,101316,[Director Musical]
46726,112600,[Mr. Balraj]
46877,105076,[Kafir Aghani]
46877,106581,[Interviewer 1]
34611,104494,[Eric Collins]
34611,111964,[Room Service Waiter]
34744,112600,[Karim Amir (segment: The Budd
44270,101084,[Dawes]
44418,108736,[Willie]
18,103373,[News Producer]
263,101668,[Board Member]
7997,102488,[Jim O'Neil]
8051,113417,(Unknown)
8092,105144,[Luther's Trainer]
11934,100798,[Client du Dr. Guelos]
670,101667,(Unknown)
8410,104892,[Yavakri]
3053,108535,"[Mickey Mouse, co-presenting A"
8987,106565,(Unknown)
9142,102620,[Studds]
12227,111861,[Conquistador #2]
12252,101904,[Basketball Player #2]
970,108271,[Guard]
12704,112262,[Karl]
9387,102838,[Sunil]
1145,107101,[Reporter]
9955,112430,[Diego]
3569,109508,[Narrator]
13847,107618,[JoJo's Heavy 2]
1524,104325,[Dosmo Pizzo]
4491,104892,[Chandra Sekhar Azad]
5007,104641,[Pupil in front of school]
5050,106698,[Dr. Samuels]
10548,101366,[Wounded child]
10548,110591,[Policeman]
10889,108388,(Unknown)
11091,103422,[Theatre Manager]
2040,108873,[Himself]
2042,112199,[Himself]
16573,104892,[Raja]
16898,110795,[Garo]
16980,110123,[Meudon City Hall Clerk]
11357,108873,[Eddie]
11409,102171,[Profane]
2394,108873,[Himself]
2476,111881,[Father Maher]
2617,101118,[Himself (Performer)]
2626,108873,[Himself]
17375,104591,(Unknown)
17375,110912,[Bhatia]
6313,100883,[Secrétaire]
6468,106082,(Unknown)
19624,100798,[Le préfet de police]
20017,101984,[Himself]
6888,101636,[Himself]
24252,110775,[Gopi's elder brother]
21026,102054,[Himself]
21142,107167,[Himself]
24452,105762,[Carol Cockatoo]
7583,108251,[Himself]
18193,102904,[Himself]
18536,112262,[Staatsanwalt]
21201,104526,[Flavio]
21603,107350,[Mabros]
21603,109171,[Brian]
21703,101870,[Policía #1]
28589,105748,[Insp. Josué]
26708,111711,[Game Show Host]
30309,113099,(Unknown)
27928,101585,[Ramundo]
27928,108421,[Senator]
27964,107234,(Unknown)
35668,101636,[Himself]
36277,104979,(Unknown)
30988,112162,[Kazuo Kiriyama - Boys #6]
32149,105010,(Unknown)
31245,111913,[Himself]
31563,109324,(Unknown)
32374,112047,[Krille]
32376,112031,[Säpo 1]
32531,102488,[Pub Customer]
37481,102804,[Portero]
230,111349,[Charlie Rhodes]
400,101146,[Playroom Playmate]
400,104824,(Unknown)
2837,104027,[Christopher Masters]
2855,104833,[Jake]
12148,100010,[Segundo Cuadro Flamenco 'Tang
8388,110890,(Unknown)
3021,103225,[Himself - Best Original Scree
700,103152,[Big Loc]
732,103336,[Himself]
3055,104379,[Himself]
849,106762,[Lightning]
866,104372,[Himself]
9089,104824,[Romeo Cortez]
1035,102050,[Peter]
9188,103636,[Victor]
3305,106453,[Himself]
3305,110222,[Himself]
12215,112621,[Elvis Impersonator]
3476,109175,[Eduardo]
13100,102868,(Unknown)
1300,100744,[Dancer]
3777,110958,[Himself]
3993,110072,[Marine #1]
14069,106496,[Himself]
4528,112487,[Jojo]
1487,100060,[Himself]
1685,100485,[Himself (New York Mets shorts
4694,101148,[Night manager]
5194,112176,[Wescott]
10560,111113,[Mr. Sark]
10661,104754,(Unknown)
15056,103275,[Claude]
1868,108041,[Roger Ames]
11446,100362,[Fat Ira]
11464,101532,[Willem]
16928,106387,(Unknown)
2237,107078,[Demetrio Morel]
17197,110613,[Italian Waiter]
6384,103116,[Capitaine Para]
6415,109861,[A drinker at bar]
6415,110495,[Hobo]
2471,109320,[Policeman]
19617,104181,[Ja-woon]
20371,103225,[A.J. Frost]
6500,106969,[Emiliano]
7018,109084,[Gang Member]
7099,106762,[Boris Badenov]
24365,105365,[Kaya/Tim]
24465,108457,[Fotograf]
20855,103895,[Andresito]
20957,110613,[Tony]
7584,103225,[Himself]
18282,102793,[Musician #5]
18282,103911,[Borja]
25536,100351,[Abdel Hakim Amer]
25834,110613,[Antonio]
21606,109345,(Unknown)
28276,109175,[Ivan adulto]
28376,112887,[Un saigneur]
28508,112887,(Unknown)
27171,100803,[Haitian Gang]
23076,110245,[National fighter 2]
23578,102241,[Henry]
27206,102952,[Jerry]
30864,112487,[Tommy]
31018,104747,[Young Man in Boat]
37033,102132,[Eligible Man]
37215,100426,[Hazad]
31783,108041,[Lou]
37867,100478,[Hassan]
32920,106619,"[Johnathon Kipplinger, Himself"
19399,107278,(Unknown)
42983,103225,[Jim Young]
43001,112721,(Unknown)
43015,104824,(Unknown)
38104,111724,[Peter]
39872,109034,[Bassam Abu Sharif (Lead)]
33373,103945,[Young Bruce]
40059,106219,[Bouncer Jonno]
40140,104824,[First Official]
40327,109452,[Father Rodriguez]
40460,102925,(Unknown)
39340,112442,(Unknown)
39404,102125,[Cop at Crime Scene #1/Cop at 
39404,110261,[Vagrant #1]
33491,102130,[Elderly Father]
43118,112328,[Doctor]
43232,104081,[Dr. Rohani]
43432,105142,[Salvatore Sebella]
33940,107296,[Gary]
40660,111699,[White Kid #3]
40674,111156,[Iversen]
44036,102550,[Baylor Watkins]
40678,111919,[Portly Barber]
40810,111499,[Himself]
40945,104229,[Fængselsbetjent]
46508,108041,[Vagitus Aspiration]
34425,106401,[Igor]
34574,109443,[Driver]
46677,103520,[Commentator]
44685,106042,(Unknown)
44755,106242,[John]
49967,106546,(Unknown)
45237,107014,[Afrim]
45237,111774,[Clothing Sales Clerk]
47828,108509,[Heavy 'D']
47914,108039,[Matt Slayton]
47930,111658,[Drake University Student]
7925,112635,[Simon]
7948,103418,[Rosen]
8023,102952,[Burt Hornstein]
8652,102752,[Eliyahu]
846,100028,[Themselves]
846,103225,[Himself - #100: Ben Affleck's
11892,107105,[Die Bösen: Carlo]
9084,103827,[Cabo Guardia Civil Control]
9084,106335,(Unknown)
3095,111458,[Mexican Man]
3252,112278,[Himself - Performer]
3395,105424,[Cámara de TV]
12594,106058,[Stome]
12912,109877,[Turiello]
9697,105899,(Unknown)
9736,109309,(Unknown)
3470,109802,[Miguel]
9820,102925,[Mechanicles]
9870,107246,[Lulu]
13112,103275,[Firmin]
13430,107632,[Ray]
13723,112551,"[Jazz Musician, New Orleans, L"
1296,112351,(Unknown)
13773,106251,[Old Man]
3888,100494,[Himself]
14023,107414,[Himself]
1664,103225,[Bartender]
4749,103375,(Unknown)
1725,103225,[Himself]
4815,111156,[Customs Official]
5006,100569,(Unknown)
5185,103250,[Himself]
10813,106844,[Train Technician]
15379,111349,[John Livingston]
15852,111392,[Another Businessman]
15979,106760,[Curugon]
16006,108073,[Wealthy Family Father]
5717,112444,[Grant (The Granton Star Case)
1975,100028,[Themselves]
2009,100028,[Themselves - Performers]
16331,112267,[Himself]
2250,101148,[Det. Steve Finn]
2250,106203,[Holding Tank Officer]
2250,113380,[Pit Boss #1]
16658,113005,[Santa]
2259,106369,[Himself]
16899,111699,[Student]
11426,100337,[Dr. David Wyckoff]
19614,109929,[Mário]
19639,112887,[Abdul]
6989,108423,[Additional Muppet Performer]
7412,109000,[Dr. Hulst]
7446,110122,[Le journaliste #1]
24476,110613,[Paradiso Marcopoli]
7464,103116,[Le Capitaine de Gendarmerie]
7464,103250,[Nadim]
7539,113214,[Edoardo]
24669,103568,(Unknown)
24680,101062,[Dr. Essam]
7591,104372,[Himself]
7591,113380,[Himself]
25364,102239,[Gus' Father]
25796,103827,[Cabo Alcázar]
25805,109175,[Jaime]
18678,104797,[Mine Yoko]
18812,108959,[Osman]
26048,100871,(Unknown)
28295,101432,(Unknown)
22206,101062,[Yasmina's father]
22681,109720,[Marin Napadélis]
26598,103922,[Photographer]
26784,104649,[Officer Yamaoka]
23042,106108,(Unknown)
23058,104897,[Child]
23058,110556,[Sigluk]
30442,107857,[Michael Bess]
23917,100437,[Himself]
28376,112907,[Membre de la meute]
28376,112909,[Membre de la meute]
26352,102478,[Duby]
26352,102898,(Unknown)
22645,108514,[Young Brad in Flashback]
22844,103447,[Retsformanden]
28709,105370,[Hunter/Nuk]
29397,102845,(Unknown)
29745,111355,[J.D.]
23076,111036,[The sergeant]
23578,106040,(Unknown)
27205,111853,[Gangbanger #3]
27205,112508,[Reese Braverton]
27321,104850,[Bully]
35647,103717,[Himself]
35661,106642,[Police Interviewer]
35812,106038,[Syringe Head]
31018,100524,[The S.A.V. Salesman]
31018,102779,[Patron of Tac-o-Tac Bar]
32371,112104,[Svanborg]
37384,111188,(Unknown)
19302,111535,[Businessman]
37719,111086,(Unknown)
32940,109246,[Leonard Goldberg]
42983,101160,[Jeff]
43001,107393,(Unknown)
38705,111855,(Unknown)
33171,106839,[Jack]
33207,107140,[Himself]
39039,109564,(Unknown)
40342,112605,[Eric]
33471,103500,(Unknown)
43118,101441,[Pai Vavá]
43151,113207,"[Héctor, the Salesman]"
39405,112538,(Unknown)
40493,100223,[The Piano Guy]
33959,113160,(Unknown)
43986,102379,(Unknown)
44201,100960,(Unknown)
34610,111436,[Interviewer]
34744,108795,[Himself - musician]
44270,107979,[TV Anchorman]
44270,109432,[Alonzo]
41211,100440,[Anthony's Thug]
41563,107727,[Ed Ackers]
47079,110585,[Himself]
35213,102344,[Aaaron]
118,112488,[Himself]
120,108612,[Himself]
245,111552,[Himself]
7942,102163,(Unknown)
2778,108228,[Himself - Memorial Tribute]
11943,103364,[Kile Taylor]
11959,108463,[Keyboards]
12018,112739,[Jerry]
8235,111355,[Derek]
8410,103349,[Raibhya]
8410,110619,[Child]
8819,109648,[Himself]
702,105538,(Unknown)
727,107692,[Himself]
729,107692,[Himself]
729,112507,[Himself]
3053,108728,[Himself - Best Original Scree
3353,106121,[Joven taberna 1]
13011,108579,(Unknown)
1045,110634,[Josh]
3521,106105,(Unknown)
1199,101225,[Samir (enfant)]
13890,109246,[Tyler]
4312,112825,(Unknown)
1506,108880,[El]
1572,105538,(Unknown)
4539,105938,(Unknown)
4725,105136,[Tegmen Arif]
1740,103181,[Themselves]
5009,106642,[Husband in Supermarket]
14417,108579,(Unknown)
10548,104616,[Barrito]
5107,109715,(Unknown)
6002,111822,(Unknown)
2017,102179,[Billy]
2042,100508,[Himself (Canadian Comedy Hall
2258,100038,[Himself]
16782,107157,[Billy]
16957,101461,(Unknown)
11425,112472,[Cop No. 2]
17139,100525,[Alessandro]
2626,100038,[Himself]
6152,100623,(Unknown)
6170,110568,[Stefan]
6313,106338,[Codoy]
6468,112891,(Unknown)
6486,103864,[Father]
6486,113276,[Alejandro]
2683,106004,(Unknown)
20017,107845,[1950s telepath]
20065,106839,(Unknown)
6754,101125,[Flic 1]
17825,102697,[Andy]
17877,109864,[Videographer at funeral]
7347,112758,[Himself]
21178,108345,[Arthur]
25565,105136,(Unknown)
21603,103349,[Indian President]
18577,111888,[Mr. Halstrom]
7806,106291,[Transit Cop]
28612,112271,[Agent Addis]
29150,102764,[Joe Rice]
23341,108396,[Un membre des Perros Negros]
23518,110268,(Unknown)
27312,107795,[Washington Scientist]
29607,100789,[Lateef]
27344,102229,[Prison Guard]
23841,103983,(Unknown)
27978,106072,[Damian]
28153,101058,(Unknown)
30754,107426,[Le premier agresseur]
19056,110936,(Unknown)
28237,110200,[L'homme en colère]
35859,111622,(Unknown)
36418,112805,"[Gajek' Gajewski, Satanists Ba"
36536,111017,[Restoration Worker #1]
32122,106188,[BBC Camera Man]
36659,101878,[Ruben]
31245,107692,[Himself]
32374,107375,[Santos Golenza]
32585,107458,[Kevin]
31872,110419,[Photographer]
31874,106154,[Drake]
37027,104701,[Shamsul Cairel Ridzuan]
32735,113223,[Himself]
42913,110350,[Circus Character]
32024,100622,(Unknown)
39158,108711,[Commissaire de police]
43188,112188,(Unknown)
43429,112957,[Polaco]
33721,106958,[T.K.]
39412,102229,[Vern Pender]
39551,103065,[Yousuf Dahir Mo'alim]
39551,109884,[Somali kid]
43597,107793,(Unknown)
43922,104737,[Swimmer #2]
33971,112739,[Jake]
34130,110652,(Unknown)
43999,101795,[Le dieu du tuning]
46421,103515,[Praying Man 1]
34446,112053,[Bert Ljung]
46837,101107,(Unknown)
44474,101176,[Gorilla Team]
41082,113324,(Unknown)
35030,105987,[Billy]
35239,107108,[Steve's Decathlon Team Member
46937,107591,[Médecin SAMU]
47016,103047,(Unknown)
47130,101160,[Club Bystander]
45094,102313,[Billy]
35543,105485,[Salon Manager]
47264,107995,[Narrator]
50690,108931,[Luke Buttleman]
50690,111921,[Curtis]
50976,101695,[Roberto]
47800,110536,[Rob]
47857,103749,[Thug 3]
51126,104586,[Jamil]
47993,107258,[Wedding Saxophonist]
8362,102430,[Member of the Tom Jones Band]
8898,107342,(Unknown)
691,102511,[Himself]
2964,112541,[Cab Driver]
3048,109413,[Tim Gonzalez]
3100,107142,[Big O]
725,107692,[Himself]
726,107692,[Himself]
927,105135,[Himself]
9616,102545,[Himself]
12225,107727,[Massimo #1]
12338,102012,[Cake Decorator]
12441,108594,[Secretario Juzgado]
3132,112889,[Cheyenne]
3163,110419,[Casting Director]
3283,112889,[Lázaro]
12690,110268,[Michele Croce]
13475,100973,[Mansur]
13626,106993,[Nonce]
1160,104652,[Yasu Sasaki]
13742,107811,[Himself]
13978,112538,[Jason]
3919,101160,[Milo]
7982,103562,[Restaurant Owner]
117,104882,[Himself]
689,102217,[Himself]
12912,100395,[Monsignor Rea]
980,102231,[Narrator]
13307,103910,(Unknown)
13557,110164,[Himself]
1296,103835,(Unknown)
13825,101729,[Toby]
3988,113077,[Agent Reeve]
13857,105148,[Gautam Rao]
14084,111323,[Peter Kenyon]
14132,103226,[Tom Myers]
10270,100618,[Skog]
1664,103226,[Tom]
14241,109501,[Chance Holden]
1730,111541,[Outfielder (Anaheim Angels)]
14684,105289,[Castro Rendón]
10554,107322,[Himself]
15827,104682,(Unknown)
1859,102867,(Unknown)
16006,107865,[Homeless Man #2]
5833,103401,[Briggs]
10874,106404,[Fourth Man]
10874,113320,[Army General]
11031,102222,[Hayden Edwards]
2191,103442,[Himself]
2250,101640,[Dockmaster]
2250,107640,['50s Young Elvis in Pink Jack
2250,109669,[Motorcycle Gang Member]
16656,105325,[Angel de Jesus]
16781,112427,(Unknown)
16867,110562,[Prof. Dorati]
2602,108815,[Embarazado]
19639,101013,[Aram]
19816,107379,(Unknown)
19873,110839,[Himself]
20091,109905,[Riuyi]
7164,101763,[The Prussian]
7173,103017,[Will Brown]
7173,108860,[Karl Andrews]
24460,110164,(Unknown)
18526,111259,[Ludger Philipp]
25796,105818,[Funcionario]
18635,108517,[Peter]
18953,101388,[Man on Street/Voice Over]
18978,106300,[Rev. Woodruff]
26100,112518,(Unknown)
26241,112393,(Unknown)
22122,101465,[Avinoam]
22681,103485,[Membre de l'équipage des pira
22681,103487,[Membre de l'équipage des pira
26493,106938,[Soul One]
26493,109928,[Customer]
26500,106938,"[Nyarlathotep, Howl 3]"
26507,104941,[Akop]
26507,112552,[Stan]
22688,110839,[Villageois]
28706,108860,[Jules]
26598,107429,[Runner]
26975,110730,[Olly]
23058,104896,[Young Pittaluk]
23058,110555,[Child]
23065,106075,[Benito]
23190,107386,[El Niño]
27270,101088,(Unknown)
29708,106609,[Himself]
30442,108860,[Cutty Dipinto]
23392,101470,(Unknown)
23415,112877,[Maj. Fahlström]
27702,112241,(Unknown)
23944,112043,[Ron]
19019,101420,(Unknown)
19178,103560,[Antonio]
30644,108967,[Hot Guy]
32098,110378,[Off duty soldier]
32114,107883,"[John Nash, Jr. (teenager)]"
36712,101797,[Security Guard]
36746,109317,[Jamey the John]
31546,110639,[Muerto]
31573,103133,[Program Director]
32682,102699,[Judge Grady]
37498,101722,[Himself]
38021,103803,[3rd Grader]
19346,100811,[Le commissaire]
38491,107481,(Unknown)
38868,105325,(Unknown)
43087,109487,[Sly]
39193,104866,[Richie]
33804,100520,[Youssef]
39495,100768,[Security Guard]
43598,104439,(Unknown)
34245,101236,(Unknown)
39627,111591,[King's swordsman]
44198,107613,[Alan]
46420,106534,[Dr. Sammy Lee]
46456,108065,"[Al, Sr.]"
46506,101813,[Street Hustler]
40838,110230,[Man on Couch]
41138,107106,[Pvt. Lewis]
34572,109921,[Portero 2]
34622,108590,(Unknown)
46974,105498,(Unknown)
44355,107799,[Ice Cream Man]
41306,111482,[Director of V.D.]
47174,100043,[Performer/Himself]
49855,104696,[Doctor #1]
50021,102774,[Himself (first chancellor of 
41942,103401,[Cop In Alley]
50825,109928,[Zurg]
47474,112116,[Palermo Band]
51134,105807,[Kim]
51241,103571,(Unknown)
45486,100768,[Henchman #4]
130,109880,[Bargali]
400,112350,(Unknown)
2874,102040,[Himself]
2890,110119,[Bob Hall of the 1961 Yankees]
12083,108894,[Antonio]
12148,112888,[Niño 2]
8555,101311,(Unknown)
8654,101465,(Unknown)
9005,102356,[Giant]
9005,104950,[Giant]
917,105125,(Unknown)
966,104739,[Steve]
3291,103310,[Grocer]
12250,111698,[Heath]
13000,103710,[Himself (interview)]
13100,105907,(Unknown)
13100,105909,(Unknown)
13751,107322,[Himself]
13885,102399,[Narrator]
9726,108824,[Padre]
14171,101722,[Himself]
14171,103546,[Himself/Dr. Shock]
4525,109176,[Himself]
1685,103376,[Himself (New York Mets left F
1737,100043,[Himself - Performer]
15407,108665,(Unknown)
1888,102115,[Andrej]
10878,107740,[Himself]
15990,106702,[Himself]
16093,105727,[Abraham Sanchez]
16662,108333,[Jan C.]
5695,104712,(Unknown)
5747,108692,[Pedro]
11328,102515,(Unknown)
11446,107061,[Maitre'D #1]
16796,100922,[Himself]
2237,102867,[Padre]
6347,101047,[Pedro]
17329,110087,[Prof. Garcia]
17346,105550,[Esben]
19503,101311,[Ramiro]
19687,101013,[Arshile Gorky]
19687,104587,[Vahan]
19769,104573,[Diecback]
6581,103935,[Himself]
7018,109083,[Johnny]
7099,108960,[Horse Spy #2]
21057,107763,[Monsieur Hermann]
18282,109412,[Comentarista Radio #1]
25516,101847,[Capitán de Fragata]
22107,109142,[Salih]
25984,105025,[Adnan]
26019,106136,(Unknown)
18818,106711,(Unknown)
28310,101079,(Unknown)
22728,101763,[Straffen]
22844,105807,[Malmros 27-45 år]
22844,111250,[Jochumsen]
22844,111255,[Rikard 12 år]
28960,101311,[Todo Joe]
26489,106938,[Drakh]
26536,105541,[Father]
26536,105777,[Andrew]
29563,112000,[Arto]
29745,110605,[Stair Guy]
23277,105339,[Himself]
23444,101722,[Himself]
27408,104203,[Valokuvaaja]
30583,101992,(Unknown)
30749,105284,[Manuel]
36667,107113,[Miguel]
32369,109035,[Ekblad's lawyer]
37215,100034,[Sugar Bear]
37215,104112,[Kissel]
31785,101027,[Mike]
37686,101722,[Man With Insect Repellent]
42981,106661,[Mark Price]
32052,111916,[Dancer]
38271,101088,[Jean]
33307,108592,(Unknown)
33574,110671,"[Ajax I., King of Salamis]"
40543,104746,[Dr. Butt]
43883,112552,[Johnny (limo driver)]
34477,101990,[Himself]
44370,109176,(Unknown)
41211,101913,[Freddie]
44755,107699,[Uncle Marion]
41764,103521,[Everett]
50186,110464,[The Wife]
44973,112927,(Unknown)
45588,100654,(Unknown)
45591,111916,[Dancer]
50971,101381,[Le voisin]
45825,108024,[John Cotton]
45889,103503,[Santino]
46022,109935,(Unknown)
42531,107129,[Eben Byers]
42747,111130,(Unknown)
2781,112552,[Anthony the Garbage Man]
8043,103217,[Shoemaker]
359,107256,[Special Appearance]
407,112611,[Extra]
